Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	372	47	12767	538	16	0	2	1779	1348	27	12115	1276	2	0	1599	92	12759	0	591	1562
500	355	139	34514	6	5	20	2	5462	127	146	39741	1103	3	0	4856	70	2599	1	2190	5098
750	321	250	61769	92	10	0	53	8680	87	15	70349	2068	9	0	8839	90	4620	1	3592	8222
1000	323	204	85109	14	5	54	56	11693	212	142	95367	3328	25	0	11669	58	6108	1	4710	11673
1250	312	128	105821	10	2	0	0	15517	852	8	120701	3945	1	9	16519	201	7693	0	6463	15082
1500	310	122	129542	5	60	0	0	18866	479	10	148641	5141	1	0	19508	108	10397	0	8545	18420
1750	261	211	152835	6	35	0	17	22174	337	49	178292	6426	1	0	23731	43	11799	0	10155	23291
2000	276	227	182650	12	34	17	0	25702	84	44	212372	8088	69	0	26384	37	13145	0	11601	27591
2250	263	246	201205	5	59	0	0	28922	95	219	231360	14785	1	1	28967	272	15091	0	12354	29242
2500	309	283	228639	7	5	1	1	32712	158	217	259970	12168	23	46	33001	25	16013	0	13585	31632
2750	366	262	256243	2	7	1	0	40954	153	281	287863	14236	2	0	36249	33	17880	0	15491	35206
3000	273	227	278509	2	7	0	3	39141	102	60	321496	16178	1	0	41563	46	19514	0	16859	42274
3250	296	243	298382	47	22	0	0	44484	451	94	344208	17304	1	0	44910	23	21073	0	17676	55437
3500	306	238	335151	6	7	0	0	48840	93	69	368930	20040	1	36	46722	28	23252	0	19146	47756
3750	298	284	353434	2	7	0	0	53346	85	79	401357	26082	56	16	51464	59	24939	0	20502	49969
4000	292	280	377236	7	7	0	0	58331	87	65	434524	30628	5	1	57125	34	25946	0	24219	52050
4250	305	246	406565	53	24	18	0	59259	112	67	471761	33893	55	82	62560	498	27770	0	23631	55428
4500	327	255	453867	5	22	1	0	63583	102	73	490783	34618	43	0	62745	21	30500	0	25624	59195
4750	481	247	455105	7	8	0	10	70257	139	129	521486	35174	33	0	69282	25	33085	5	27902	63733
5000	313	295	497357	3	24	0	0	71658	97	115	541521	38605	125	1	72644	29	32660	0	28920	70334
5250	345	247	518336	31	8	19	1	76375	91	81	587072	43160	21	0	75862	21	34705	1	31527	70380
